Date,Month,Quarter,Year
2025-03-09,March,Q1,2025
2025-03-10,March,Q1,2025
2025-03-11,March,Q1,2025
2025-03-12,March,Q1,2025
2025-03-13,March,Q1,2025
2025-03-14,March,Q1,2025
2025-03-15,March,Q1,2025
2025-03-16,March,Q1,2025
2025-03-17,March,Q1,2025
2025-03-18,March,Q1,2025
2025-03-19,March,Q1,2025
2025-03-20,March,Q1,2025
2025-03-21,March,Q1,2025
2025-03-22,March,Q1,2025
2025-03-23,March,Q1,2025
2025-03-24,March,Q1,2025
2025-03-25,March,Q1,2025
2025-03-26,March,Q1,2025
2025-03-27,March,Q1,2025
2025-03-28,March,Q1,2025
2025-03-29,March,Q1,2025
2025-03-30,March,Q1,2025
2025-03-31,March,Q1,2025
2025-04-01,April,Q2,2025
2025-04-02,April,Q2,2025
2025-04-03,April,Q2,2025
2025-04-04,April,Q2,2025
2025-04-05,April,Q2,2025
2025-04-06,April,Q2,2025
2025-04-07,April,Q2,2025
2025-04-08,April,Q2,2025
2025-04-09,April,Q2,2025
2025-04-10,April,Q2,2025
2025-04-11,April,Q2,2025
2025-04-12,April,Q2,2025
2025-04-13,April,Q2,2025
2025-04-14,April,Q2,2025
2025-04-15,April,Q2,2025
2025-04-16,April,Q2,2025
2025-04-17,April,Q2,2025
2025-04-18,April,Q2,2025
2025-04-19,April,Q2,2025
2025-04-20,April,Q2,2025
2025-04-21,April,Q2,2025
2025-04-22,April,Q2,2025
2025-04-23,April,Q2,2025
2025-04-24,April,Q2,2025
2025-04-25,April,Q2,2025
2025-04-26,April,Q2,2025
2025-04-27,April,Q2,2025
2025-04-28,April,Q2,2025
2025-04-29,April,Q2,2025
2025-04-30,April,Q2,2025
2025-05-01,May,Q2,2025
2025-05-02,May,Q2,2025
2025-05-03,May,Q2,2025
2025-05-04,May,Q2,2025
2025-05-05,May,Q2,2025
2025-05-06,May,Q2,2025
2025-05-07,May,Q2,2025
2025-05-08,May,Q2,2025
2025-05-09,May,Q2,2025
2025-05-10,May,Q2,2025
2025-05-11,May,Q2,2025
2025-05-12,May,Q2,2025
2025-05-13,May,Q2,2025
2025-05-14,May,Q2,2025
2025-05-15,May,Q2,2025
2025-05-16,May,Q2,2025
2025-05-17,May,Q2,2025
2025-05-18,May,Q2,2025
2025-05-19,May,Q2,2025
2025-05-20,May,Q2,2025
2025-05-21,May,Q2,2025
2025-05-22,May,Q2,2025
2025-05-23,May,Q2,2025
2025-05-24,May,Q2,2025
2025-05-25,May,Q2,2025
2025-05-26,May,Q2,2025
2025-05-27,May,Q2,2025
2025-05-28,May,Q2,2025
2025-05-29,May,Q2,2025
2025-05-30,May,Q2,2025
2025-05-31,May,Q2,2025
2025-06-01,June,Q2,2025
2025-06-02,June,Q2,2025
2025-06-03,June,Q2,2025
2025-06-04,June,Q2,2025
2025-06-05,June,Q2,2025
2025-06-06,June,Q2,2025
2025-06-07,June,Q2,2025
2025-06-08,June,Q2,2025
2025-06-09,June,Q2,2025
2025-06-10,June,Q2,2025
2025-06-11,June,Q2,2025
2025-06-12,June,Q2,2025
2025-06-13,June,Q2,2025
2025-06-14,June,Q2,2025
2025-06-15,June,Q2,2025
2025-06-16,June,Q2,2025
2025-06-17,June,Q2,2025
2025-06-18,June,Q2,2025
2025-06-19,June,Q2,2025
2025-06-20,June,Q2,2025
2025-06-21,June,Q2,2025
2025-06-22,June,Q2,2025
2025-06-23,June,Q2,2025
2025-06-24,June,Q2,2025
2025-06-25,June,Q2,2025
2025-06-26,June,Q2,2025
2025-06-27,June,Q2,2025
2025-06-28,June,Q2,2025
2025-06-29,June,Q2,2025
2025-06-30,June,Q2,2025
2025-07-01,July,Q3,2025
2025-07-02,July,Q3,2025
2025-07-03,July,Q3,2025
2025-07-04,July,Q3,2025
2025-07-05,July,Q3,2025
2025-07-06,July,Q3,2025
2025-07-07,July,Q3,2025
2025-07-08,July,Q3,2025
2025-07-09,July,Q3,2025
2025-07-10,July,Q3,2025
2025-07-11,July,Q3,2025
2025-07-12,July,Q3,2025
2025-07-13,July,Q3,2025
2025-07-14,July,Q3,2025
2025-07-15,July,Q3,2025
2025-07-16,July,Q3,2025
2025-07-17,July,Q3,2025
2025-07-18,July,Q3,2025
2025-07-19,July,Q3,2025
2025-07-20,July,Q3,2025
2025-07-21,July,Q3,2025
2025-07-22,July,Q3,2025
2025-07-23,July,Q3,2025
2025-07-24,July,Q3,2025
2025-07-25,July,Q3,2025
2025-07-26,July,Q3,2025
2025-07-27,July,Q3,2025
2025-07-28,July,Q3,2025
2025-07-29,July,Q3,2025
2025-07-30,July,Q3,2025
2025-07-31,July,Q3,2025
2025-08-01,August,Q3,2025
2025-08-02,August,Q3,2025
2025-08-03,August,Q3,2025
2025-08-04,August,Q3,2025
2025-08-05,August,Q3,2025
2025-08-06,August,Q3,2025
2025-08-07,August,Q3,2025
2025-08-08,August,Q3,2025
2025-08-09,August,Q3,2025
2025-08-10,August,Q3,2025
2025-08-11,August,Q3,2025
2025-08-12,August,Q3,2025
2025-08-13,August,Q3,2025
2025-08-14,August,Q3,2025
2025-08-15,August,Q3,2025
2025-08-16,August,Q3,2025
2025-08-17,August,Q3,2025
2025-08-18,August,Q3,2025
2025-08-19,August,Q3,2025
2025-08-20,August,Q3,2025
2025-08-21,August,Q3,2025
2025-08-22,August,Q3,2025
2025-08-23,August,Q3,2025
2025-08-24,August,Q3,2025
2025-08-25,August,Q3,2025
2025-08-26,August,Q3,2025
2025-08-27,August,Q3,2025
2025-08-28,August,Q3,2025
2025-08-29,August,Q3,2025
2025-08-30,August,Q3,2025
2025-08-31,August,Q3,2025
2025-09-01,September,Q3,2025
2025-09-02,September,Q3,2025
2025-09-03,September,Q3,2025
2025-09-04,September,Q3,2025
2025-09-05,September,Q3,2025
2025-09-06,September,Q3,2025
2025-09-07,September,Q3,2025
2025-09-08,September,Q3,2025
2025-09-09,September,Q3,2025
2025-09-10,September,Q3,2025
2025-09-11,September,Q3,2025
2025-09-12,September,Q3,2025
2025-09-13,September,Q3,2025
2025-09-14,September,Q3,2025
2025-09-15,September,Q3,2025
2025-09-16,September,Q3,2025
2025-09-17,September,Q3,2025
2025-09-18,September,Q3,2025
2025-09-19,September,Q3,2025
2025-09-20,September,Q3,2025
2025-09-21,September,Q3,2025
2025-09-22,September,Q3,2025
2025-09-23,September,Q3,2025
2025-09-24,September,Q3,2025
2025-09-25,September,Q3,2025
2025-09-26,September,Q3,2025
2025-09-27,September,Q3,2025
2025-09-28,September,Q3,2025
2025-09-29,September,Q3,2025
2025-09-30,September,Q3,2025
2025-10-01,October,Q4,2025
2025-10-02,October,Q4,2025
2025-10-03,October,Q4,2025
2025-10-04,October,Q4,2025
2025-10-05,October,Q4,2025
2025-10-06,October,Q4,2025
2025-10-07,October,Q4,2025
2025-10-08,October,Q4,2025
2025-10-09,October,Q4,2025
2025-10-10,October,Q4,2025
2025-10-11,October,Q4,2025
2025-10-12,October,Q4,2025
2025-10-13,October,Q4,2025
2025-10-14,October,Q4,2025
2025-10-15,October,Q4,2025
2025-10-16,October,Q4,2025
2025-10-17,October,Q4,2025
2025-10-18,October,Q4,2025
2025-10-19,October,Q4,2025
2025-10-20,October,Q4,2025
2025-10-21,October,Q4,2025
2025-10-22,October,Q4,2025
2025-10-23,October,Q4,2025
2025-10-24,October,Q4,2025
2025-10-25,October,Q4,2025
2025-10-26,October,Q4,2025
2025-10-27,October,Q4,2025
2025-10-28,October,Q4,2025
2025-10-29,October,Q4,2025
2025-10-30,October,Q4,2025
2025-10-31,October,Q4,2025
2025-11-01,November,Q4,2025
2025-11-02,November,Q4,2025
2025-11-03,November,Q4,2025
2025-11-04,November,Q4,2025
2025-11-05,November,Q4,2025
2025-11-06,November,Q4,2025
2025-11-07,November,Q4,2025
2025-11-08,November,Q4,2025
2025-11-09,November,Q4,2025
2025-11-10,November,Q4,2025
2025-11-11,November,Q4,2025
2025-11-12,November,Q4,2025
2025-11-13,November,Q4,2025
2025-11-14,November,Q4,2025
2025-11-15,November,Q4,2025
2025-11-16,November,Q4,2025
2025-11-17,November,Q4,2025
2025-11-18,November,Q4,2025
2025-11-19,November,Q4,2025
2025-11-20,November,Q4,2025
2025-11-21,November,Q4,2025
2025-11-22,November,Q4,2025
2025-11-23,November,Q4,2025
2025-11-24,November,Q4,2025
2025-11-25,November,Q4,2025
2025-11-26,November,Q4,2025
2025-11-27,November,Q4,2025
2025-11-28,November,Q4,2025
2025-11-29,November,Q4,2025
2025-11-30,November,Q4,2025
2025-12-01,December,Q4,2025
2025-12-02,December,Q4,2025
2025-12-03,December,Q4,2025
2025-12-04,December,Q4,2025
2025-12-05,December,Q4,2025
2025-12-06,December,Q4,2025
2025-12-07,December,Q4,2025
2025-12-08,December,Q4,2025
2025-12-09,December,Q4,2025
2025-12-10,December,Q4,2025
2025-12-11,December,Q4,2025
2025-12-12,December,Q4,2025
2025-12-13,December,Q4,2025
2025-12-14,December,Q4,2025
2025-12-15,December,Q4,2025
2025-12-16,December,Q4,2025
2025-12-17,December,Q4,2025
2025-12-18,December,Q4,2025
2025-12-19,December,Q4,2025
2025-12-20,December,Q4,2025
2025-12-21,December,Q4,2025
2025-12-22,December,Q4,2025
2025-12-23,December,Q4,2025
2025-12-24,December,Q4,2025
2025-12-25,December,Q4,2025
2025-12-26,December,Q4,2025
2025-12-27,December,Q4,2025
2025-12-28,December,Q4,2025
2025-12-29,December,Q4,2025
2025-12-30,December,Q4,2025
2025-12-31,December,Q4,2025
